H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,Base_I,U_THD,I_TDD
1.401,1.857,1.31,1.823,2.187,2.509,1.621,2.67,1.23
0.873,0.333,0.828,2.701,0.944,2.502,3.548,1.248,2.697
0.511,0.909,1.94,0.473,1.39,2.329,3.713,2.203,2.045
0.451,0.348,1.524,0.563,2.528,3.911,1.979,1.627,1.856
1.21,1.913,1.599,0.969,2.826,1.689,4.098,2.772,2.813
0.404,1.241,1.265,3.847,1.167,1.263,2.628,1.817,2.215
0.31,0.645,0.318,3.716,3.621,2.037,3.281,0.784,3.658
0.824,1.51,1.543,3.741,0.527,3.595,2.529,2.311,2.638
0.388,1.562,0.36,1.883,2.336,3.772,2.761,1.649,2.662
0.56,1.517,1.285,0.289,2.053,0.639,1.585,2.065,0.688
1.35,0.285,0.998,1.702,3.807,2.232,1.492,1.703,1.411
0.442,1.244,1.196,1.383,2.329,2.577,2.837,1.782,2.121
1.725,1.002,1.104,2.793,0.29,3.21,1.234,2.28,1.053
1.461,0.488,0.66,3.196,2.259,1.163,1.972,1.676,1.61
1.429,1.108,0.202,2.216,0.21,3.182,2.598,1.82,2.017
0.686,1.732,1.987,3.203,2.225,3.011,1.046,2.724,1.031
1.452,0.539,0.437,0.478,2.56,1.906,3.369,1.61,2.175
0.677,0.599,1.384,1.142,0.391,1.325,4.923,1.653,1.765
0.457,1.567,0.442,1.871,2.84,0.94,3.196,1.691,2.255
0.958,1.247,0.634,1.643,2.456,0.335,3.706,1.696,2.204
0.368,1.287,1.421,0.227,0.698,3.76,2.925,1.952,2.241
1.682,1.265,0.534,1.888,1.99,2.776,1.407,2.171,1.098
0.399,1.222,1.001,2.264,0.981,1.284,1.869,1.629,1.039
1.962,0.435,0.931,1.562,1.584,2.454,4.236,2.215,2.806
1.358,0.201,1.76,2.179,2.563,1.89,1.5,2.232,1.158
0.88,0.471,1.857,1.302,2.33,2.721,2.239,2.108,1.707
0.346,1.729,0.953,0.731,2.468,3.388,4.659,2.004,3.965
0.92,1.786,0.598,0.214,0.678,3.134,4.567,2.096,2.935
1.484,0.894,0.907,1.48,0.216,3.957,3.065,1.955,2.593
