H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,U_THD,I_TDD
1.401,1.857,1.31,1.823,2.187,2.509,2.67,1.23
0.873,0.333,0.828,2.701,0.944,2.502,1.248,2.697
0.511,0.909,1.94,0.473,1.39,2.329,2.203,2.045
0.451,0.348,1.524,0.563,2.528,3.911,1.627,1.856
1.21,1.913,1.599,0.969,2.826,1.689,2.772,2.813
0.404,1.241,1.265,3.847,1.167,1.263,1.817,2.215
0.31,0.645,0.318,3.716,3.621,2.037,0.784,3.658
0.824,1.51,1.543,3.741,0.527,3.595,2.311,2.638
0.388,1.562,0.36,1.883,2.336,3.772,1.649,2.662
0.56,1.517,1.285,0.289,2.053,0.639,2.065,0.688
1.35,0.285,0.998,1.702,3.807,2.232,1.703,1.411
0.442,1.244,1.196,1.383,2.329,2.577,1.782,2.121
1.725,1.002,1.104,2.793,0.29,3.21,2.28,1.053
1.461,0.488,0.66,3.196,2.259,1.163,1.676,1.61
1.429,1.108,0.202,2.216,0.21,3.182,1.82,2.017
0.686,1.732,1.987,3.203,2.225,3.011,2.724,1.031
1.452,0.539,0.437,0.478,2.56,1.906,1.61,2.175
0.677,0.599,1.384,1.142,0.391,1.325,1.653,1.765
0.457,1.567,0.442,1.871,2.84,0.94,1.691,2.255
0.958,1.247,0.634,1.643,2.456,0.335,1.696,2.204
0.368,1.287,1.421,0.227,0.698,3.76,1.952,2.241
1.682,1.265,0.534,1.888,1.99,2.776,2.171,1.098
0.399,1.222,1.001,2.264,0.981,1.284,1.629,1.039
1.962,0.435,0.931,1.562,1.584,2.454,2.215,2.806
1.358,0.201,1.76,2.179,2.563,1.89,2.232,1.158
0.88,0.471,1.857,1.302,2.33,2.721,2.108,1.707
0.346,1.729,0.953,0.731,2.468,3.388,2.004,3.965
0.92,1.786,0.598,0.214,0.678,3.134,2.096,2.935
1.484,0.894,0.907,1.48,0.216,3.957,1.955,2.593
1.631,1.457,1.927,1.757,0.607,1.773,2.915,1.428
1.551,0.73,1.48,2.046,3.564,1.574,2.265,2.976
0.855,1.215,0.577,0.64,3.005,0.94,1.594,2.074
0.59,1.735,1.786,3.031,1.284,3.508,2.559,2.187
1.811,0.984,0.311,0.825,3.467,0.595,2.084,0.966
1.381,0.38,0.644,0.363,3.213,1.633,1.57,0.777
0.243,1.202,1.835,2.221,1.449,3.465,2.207,3.351
1.341,0.631,0.241,3.367,3.993,0.278,1.502,1.363
1.235,1.971,1.61,3.181,1.272,3.365,2.829,3.117
1.552,0.252,1.582,3.087,0.463,1.008,2.23,2.304
0.541,1.742,1.973,3.178,3.932,1.465,2.687,2.708
1.628,1.173,0.351,2.603,0.36,0.605,2.037,1.152
1.788,1.709,0.936,2.042,0.707,3.803,2.644,2.099
1.088,1.593,1.467,3.905,2.678,0.545,2.424,3.551
0.21,1.374,1.433,2.221,2.072,0.843,1.997,1.477
0.928,1.137,1.823,0.391,1.496,0.644,2.34,0.898
0.949,1.918,1.834,3.788,2.139,0.631,2.818,2.746
1.119,1.308,1.297,0.685,3.098,2.096,2.155,1.443
1.147,0.29,0.544,3.457,3.487,3.005,1.302,3.275
0.982,0.892,1.63,1.223,3.683,1.185,2.102,0.85
1.143,1.119,1.743,3.992,0.282,3.716,2.365,3.722
1.582,0.259,0.545,0.664,3.204,1.347,1.693,2.093
1.18,0.233,1.505,2.224,1.574,0.81,1.927,1.845
